Player,Team,Conf,G,Cmp,Pass_Att,Cmp_Pct,Pass_Yds,Pass_TD,Int,Pass_Y/A,AY/A,PR,Year,School,Rush_Att,Rush_Yds,Rush_Y/A,Rush_TD,Rec,Rec_Yds,Y/R,Rec_TD,Plays,Tot_Yds,Y/P,Tot_TD
Justin Hardy,East Carolina,American,13,1.0,4.0,25.0,41.0,1.0,0.0,10.3,15.25,193.6,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charles Lovett,Colorado State,MWC,13,1.0,2.0,50.0,39.0,1.0,0.0,19.5,29.5,378.8,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nolen Smith,UAB,CUSA,12,1.0,2.0,50.0,37.0,0.0,0.0,18.5,18.5,205.4,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Streveler,Minnesota,Big Ten,5,4.0,11.0,36.4,37.0,1.0,1.0,3.4,1.09,76.4,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mitch Kimble,Syracuse,ACC,3,6.0,19.0,31.6,37.0,0.0,1.0,1.9,-0.42,37.4,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben McLane,Georgia State,Sun Belt,11,2.0,3.0,66.7,36.0,0.0,1.0,12.0,-3.0,100.8,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Bordner,Boston College,ACC,13,1.0,2.0,50.0,35.0,0.0,0.0,17.5,17.5,197.0,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kam Jones,UTSA,CUSA,12,1.0,1.0,100.0,35.0,1.0,0.0,35.0,55.0,724.0,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Vaughan,Old Dominion,CUSA,12,1.0,1.0,100.0,34.0,0.0,0.0,34.0,34.0,385.6,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Billy Cosh,Houston,American,3,5.0,9.0,55.6,32.0,0.0,0.0,3.6,3.56,85.4,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
